RequiredQual,JobDescription,JobRequirment,Title,Combined
"- Bachelor's degree in Computer Science or closely related discipline
and relevant experience;
- Windows C++ and GUI development experience is highly desired; Mac OS X
knowledge would be a key advantage; UML knowledge is a plus;
- Familiarity with ima","Imagenomic LLC is looking for a Software Developer to
support critical work streams within Companys Software Engineering Team
by carrying out the key tasks in a full software development cycle
including design, prototyping, development, test and release as well as
in maintaining industry standard practices and processes for continual
improvement. The position will provide auxiliary, GUI and core code
development primarily in C++ on a daily, time-sensitive basis in
response to scheduled and/ or ad-hoc tasking. This position will also
maintain technical documentation and will require performance based
reporting. For an initial timeframe, this position can work from home
with flexible working schedule, while meeting high-quality standards for
responsiveness and follow-through. This role requires the ability to
self-manage the responsibilities of this position, work remotely with
company staff, be part of a dynamic, product and knowledge oriented
international software company, with the desire to assume increasing
responsibilities and grow with the company.","- Professionally and effectively carry out software development tasks;
- Develop and maintain technical documentation;
- Report on the development status as scheduled or as requested;
- Provide general assistance to Technical Support as requested;
- W",Software Developer,- Bachelor's degree in Computer Science or closely related discipline and relevant experience; - Windows C++ and GUI development experience is highly desired; Mac OS X knowledge would be a key advantage; UML knowledge is a plus; - Familiarity with image p
"- University degree in business or public administration, economics or
other related field;
- 3 years of relevant experience in logistics/ procurement with
international organizations/ embassies; 
- Fluency in English and Armenian languages; 
- Exper","Under the direct supervision of the International
Project Administrator, the Administrative Assistant will provide support
to the EU Advisory Group to the Republic of Armenia Project operations
ensuring high quality and accuracy of work. The incumbent will promote a
client, quality and results-oriented approach in the Project team.","- Provide administrative support by reviewing and processing requests in
several areas of operations, such as travel, logistics, procurement and
general administration. Draft routine correspondence and report from
verbal instructions, previous correspo",Administrative Assistant,"- University degree in business or public administration, economics or other related field; - 3 years of relevant experience in logistics/ procurement with international organizations/ embassies;  - Fluency in English and Armenian languages;  - Experience"
"- Excellent communication skills; 
- Good oral and written communication skills in Armenian and English
languages, knowledge of Russian language is a plus; 
- Basic computer and internet, e-mail skills; 
- Punctual, communicative, open-minded, self-co","The incumbent will work under the direct supervision
of the company President and be primarily responsible for covering the
front desk.","- Answer telephone calls and inquiries, forward calls to relevant staff
or take messages during their absence; 
- Provide interested parties/ visitors with relevant information if
appropriate; 
- Greet visitors and guide them to appropriate staff; 
-",Receptionist/ Administrative Assistant,"- Excellent communication skills;  - Good oral and written communication skills in Armenian and English languages, knowledge of Russian language is a plus;  - Basic computer and internet, e-mail skills;  - Punctual, communicative, open-minded, self-confid"
"- Higher education (accounting degree or equivalent);
- Minimum 2 year experience in accounting area;
- Knowledge of Accounting Standards of the RA, other accounting and tax
related laws and regulations; 
- Knowledge and experience of related computer","""Catherine Group"" Ltd is inviting highly qualified
professionals to fulfill the position of an Accountant in the financial
department.","- Compile and analyze financial information to prepare financial
statements including monthly and annual accounts;
- Ensure financial records are maintained in compliance with accepted
policies and procedures;
- Ensure all financial reporting deadline",Accountant,"- Higher education (accounting degree or equivalent); - Minimum 2 year experience in accounting area; - Knowledge of Accounting Standards of the RA, other accounting and tax related laws and regulations;  - Knowledge and experience of related computer app"
"- Excellent communication skills; 
- Good oral and written communication skills in Armenian and English
languages, knowledge of Russian language is a plus; 
- Basic computer and internet, e-mail skills; 
- Punctual, communicative, open-minded, self-co","The incumbent will work under the direct supervision
of the company President and be primarily responsible for covering the
front desk.","- Answer telephone calls and inquiries, forward calls to relevant staff
or take messages during their absence; 
- Provide interested parties/ visitors with relevant information if
appropriate; 
- Greet visitors and guide them to appropriate staff; 
-",Receptionist/ Administrative Assistant,"- Excellent communication skills;  - Good oral and written communication skills in Armenian and English languages, knowledge of Russian language is a plus;  - Basic computer and internet, e-mail skills;  - Punctual, communicative, open-minded, self-confid"
"- University degree in the relevant field; 
- Experience in corporate communication field is a plus; 
- Fluency in Russian, English and Persian languages; 
- Relevant computer skills.","The incumbent will be responsible for assisting the
Director in different activities.","- Answer the phone calls;
- Provide administrative support by reviewing mails and other
materials;
- Translate provided materials when needed;
- Write letters and maintain corporate communication;
- Greet the visitors and understand their needs;
- D",Administrative Assistant,"- University degree in the relevant field;  - Experience in corporate communication field is a plus;  - Fluency in Russian, English and Persian languages;  - Relevant computer skills.The incumbent will be responsible for assisting the Director in differen"
"- University degree in Accounting/ Finance;
- 3-5 years of experience in finance/ accounting areas;
- At least 2 years of work experience as a Chief Accountant; 
- Good knowledge of Armenian Accounting (knowledge of ArmSoftware and
1C) and Auditing St","Fondex Commercial LLC is looking for a Chief
Accountant. The incumbent will take responsibility for the
all-accounting transactions, provide functional support to all finance
and administration functions and services, conduct the financial and
administrative operations, implement policies and procedures on all
accounting, administration, auditing, financial and budgeting activities
and internal controls. The Chief Accountant will report to the Director
of the company.","Responsibilities include, but are not limited to
the following: 
- Provide support to the operation and development of the accounting
system, structures and procedures;
- Oversee day-to-day accounting transactions, implement policies,
procedures and systems;
- Review, develop and enhance accounting and financial information
systems as well as current and proposed procedures;
- Be responsible for reporting and accounting system control, supervise
accounts staff team;
- Coordinate improvement and operations of accounts payable, accounts
receivable and collection systems;
- Provide accounting and financial analysis and make proper
recommendations;
- Manage preparation of monthly, quarterly and annual book closings and
balances according to Armenian Legislation; 
- Prepare and submit annual tax report and quarterly reports to local
tax authorities, Social Protection Fund and Employment Fund while
minimizing taxes payable and excluding penalties; 
- Execute payments on behalf of the company; 
- Manage bank accounts and petty cash; 
- Perform other accounting related duties as assigned;
- Maintain confidentiality of all documents.",Chief Accountant,- University degree in Accounting/ Finance; - 3-5 years of experience in finance/ accounting areas; - At least 2 years of work experience as a Chief Accountant;  - Good knowledge of Armenian Accounting (knowledge of ArmSoftware and 1C) and Auditing Standa
"- At least 5 years of work experience as Software Developer;
- Excellent knowledge of Java and OOP;
- Excellent knowledge of Web development;
- Web Frameworks: Struts, JSP/Servlet and Java Server Faces;
- Persistence Layer: OJB, IBATIS and Hibernate;","The Virtual Solution Global Services LLC is seeking
for a motivated Senior Java Developer to be responsible for the
development of Web based applications.","- Participate in application design; 
- Provide necessary technical and design documentation;
- Communicate effectively with local management and external team
members;
- Develop applications according to technical documentation; 
- Develop test case",Java Developer,"- At least 5 years of work experience as Software Developer; - Excellent knowledge of Java and OOP; - Excellent knowledge of Web development; - Web Frameworks: Struts, JSP/Servlet and Java Server Faces; - Persistence Layer: OJB, IBATIS and Hibernate; - In"
"- Higher medical or pharmaceutical education;
- Experience working as a Medical Representative is a plus (trainings
are provided);
- Ability to learn and dynamically develop in the growing company;
- Creative and pro-active team player;
- Communicati","Teva Pharmaceutical Industries Ltd. is seeking a
qualified Medical Representative to work in Armenia.","- Present products to doctors, pharmacists; 
- Organize or attend medical conferences;
- Keep up to date with the latest clinical data and research in order to
be able to discuss medical matters with health professionals in details.",Medical Representative,- Higher medical or pharmaceutical education; - Experience working as a Medical Representative is a plus (trainings are provided); - Ability to learn and dynamically develop in the growing company; - Creative and pro-active team player; - Communication sk
"- Advanced degree in accounting or finance;
- Minimum 3-5 years of experience in accounting or equivalent finance
positions;
- Excellent knowledge of local accounting & tax practices and
regulations;
- Good command of MS Office tools (Word, Excel and","The Accountant is responsible for maintaining accurate
and complete record in accordance with Generally Accepted Accounting
Principles (GAAP) and IntraHealth Accounting and Financial Policies and
Procedures. S/he also verifies all source documents for proper approval
and documentation.","Conduct day-to-day accounting activities in
compliance with Intrahealth International policies and procedures and
with Armenian laws, including but not limited to:
- Maintain general ledger and all related accounts with proper
documentation and records of all transactions; review entries to the
general ledger to assure accuracy and compliance with the companys and
established accounting principles; 
- Prepare statutory reports as required and respond to inquiries as
necessary;
- Process monthly staff payroll, tax calculations and remittances; 
- Maintain tax accounting and ensure due reporting to tax authorities;
- Undertake monthly and year-end closing of the general ledger including
the preparation of journal entries;
- Supervise monthly bank reconciliations for all accounts; verify
accuracy of bank statements and maintain integrity of cash balances and
cash flow systems;
- Maintain fixed asset records and determine depreciation terms/ rates
to apply to items;
- Maintain a computerized accounting system;
- Prepare payment vouchers for signature and bank transfers, review
payment requests for format and accuracy;
- Draw-up service and employment contracts (subject to Chapel Hill
Finance and Contracts department approval); 
- Manage all personnel issues, including timesheets, leave reports and
local benefits, and ensuring their confidentiality, maintain file of
personnel records;
- Keep log of vehicle request forms, alongside with driver schedule and
manage usage of office vehicle, request and maintain fuel inventory;
- Manage daily petty cash payments and cash reconciliation, including
verifying support documentation; prepare petty cash replenishment/
request documents;
- Prepare monthly funds request; 
- Make and/ or reconfirm all hotel, flight and travel arrangements,
handle visa arrangements and car pick up; 
- Process local travel expenses/ reimbursements; 
- Provide logistics for seminars, workshops and other special events; 
- Perform other duties related with position and assigned by the
supervisor.",Accountant,"- Advanced degree in accounting or finance; - Minimum 3-5 years of experience in accounting or equivalent finance positions; - Excellent knowledge of local accounting & tax practices and regulations; - Good command of MS Office tools (Word, Excel and Powe"
"- University degree in Accounting/ Finance;
- 3-5 years of experience in finance/ accounting areas;
- At least 3 years of work experience as a Chief Accountant; 
- Good knowledge of Armenian Accounting (knowledge of ArmSoftware 4.0)
and Auditing Stand","NewPlast CJSC is looking for a Chief Accountant. The
incumbent will take responsibility for the all-accounting transactions,
provide functional support to all financial and administrative functions
and services, conduct financial and administrative operations, implement
policies and procedures on all accounting, administration, auditing,
financial and budgeting activities and internal controls. The Chief
Accountant will report to the Director of the company.","Responsibilities include, but are not limited to
the following: 
- Provide support to the operation and development of the accounting
system, structures and procedures;
- Oversee day-to-day accounting transactions, implement policies,
procedures and systems;
- Review, develop and enhance accounting and financial information
systems as well as current and proposed procedures;
- Be responsible for reporting and accounting system control, supervise
accounts staff team;
- Coordinate improvement and operations of accounts payable, accounts
receivable and collection systems;
- Provide accounting and financial analysis and make proper
recommendations;
- Manage preparation of monthly, quarterly and annual book closings and
balances according to Armenian Legislation; 
- Prepare and submit annual tax report and quarterly reports to local
tax authorities, Social Protection Fund and Employment Fund while
minimizing taxes payable and excluding penalties; 
- Execute payments on behalf of the company; 
- Manage bank accounts and petty cash; 
- Perform other accounting related duties as assigned;
- Maintain confidentiality of all documents.",Chief Accountant,- University degree in Accounting/ Finance; - 3-5 years of experience in finance/ accounting areas; - At least 3 years of work experience as a Chief Accountant;  - Good knowledge of Armenian Accounting (knowledge of ArmSoftware 4.0) and Auditing Standards
"- Deep knowledge and skills in the UNIX/ LINUX; 
- Practical experience in JAVA-based Web-applications, J2EE, JSP/ JSF,
Eclipse/ JDeveloper; 
- Knowledge of BEA WebLogic/ JBoss Application Server; 
- Knowledge of Oracle Database, PL/ SQL; 
- Experien","Firmplace Corporation is currently seeking Senior Java
Developers, preferably experienced with Oracle Fusion development suite,
to work in a large scale long term java project and lead the Java
Technical team.","- Participate in development of new projects; 
- Design and implement solutions according to business requirements; 
- Participate in a variety of meetings with customers and team; 
- Keep track of lessons learned and share those lessons with team
mem",Java Developer,"- Deep knowledge and skills in the UNIX/ LINUX;  - Practical experience in JAVA-based Web-applications, J2EE, JSP/ JSF, Eclipse/ JDeveloper;  - Knowledge of BEA WebLogic/ JBoss Application Server;  - Knowledge of Oracle Database, PL/ SQL;  - Experience in"
"- University degree in Accounting or Finance;
- Minimum 3 years of experience in accounting field;
- Good Knowledge of Armenian Accounting (ArmSoftware);
- Knowledge of Tax laws and regulations;
- Knowledge of Accounting Standards of RA; 
- Knowledge","""Generoso"" LLC is looking for a qualified professional
to fulfill the position of Accountant.","- Compile and analyze financial information in order to prepare monthly
and annual reports;
- Register daily accounting transactions;
- Provide accounting and financial analysis;
- Prepare accounting management reports; 
- Ensure that financial recor",Accountant,- University degree in Accounting or Finance; - Minimum 3 years of experience in accounting field; - Good Knowledge of Armenian Accounting (ArmSoftware); - Knowledge of Tax laws and regulations; - Knowledge of Accounting Standards of RA;  - Knowledge of M
"- Undergraduate degree in computer science or a related field;
- English language speaking skills;
- 3+ year relevant experience;
- 3+ years of Java/J2EE specific experience;
- 1+ years of Perl specific experience;
- Other valued skills: SOAP, Linux,","AtTask, Inc. is looking for Java Developers with
experience in Perl to develop internal applications that support daily
business operations at Yerevan office.","- Work well with a US-based remote team in understanding application
requirements;
- Perform software development and test case development;
- Assist with integration services related to the AtTask products;
- Work in a scrum project framework.",Java Developer,"- Undergraduate degree in computer science or a related field; - English language speaking skills; - 3+ year relevant experience; - 3+ years of Java/J2EE specific experience; - 1+ years of Perl specific experience; - Other valued skills: SOAP, Linux, Sale"
"- At least 3 years of work experience as a Software Developer;
- At least 2 years of work experience with databases (Oracle or MS SQL
Server);
- Good knowledge of OOP;
- Good knowledge of C++ and SQL languages;
- Basic knowledge of web technologies;","LSoft Ltd. is seeking a qualified and experienced
candidate for the position of a Software Developer.","- Participate in software and database design; 
- Effectively communicate with management and team members;
- Develop applications according to technical documentation; 
- Develop test cases.",Software Developer,- At least 3 years of work experience as a Software Developer; - At least 2 years of work experience with databases (Oracle or MS SQL Server); - Good knowledge of OOP; - Good knowledge of C++ and SQL languages; - Basic knowledge of web technologies; - Pro
"- Advanced degree in accounting or finance;
- Minimum 3-5 years of experience in accounting or equivalent finance
positions;
- Excellent knowledge of local accounting & tax practices and
regulations;
- Good command of MS Office tools (Word, Excel and","The Accountant will be responsible for maintaining
accurate and complete record in accordance with Generally Accepted
Accounting Principles (GAAP) and Intrahealth Accounting and Financial
Policies and Procedures. S/he will also verify all source documents for
proper approval and documentation.","Conduct day-to-day accounting activities in
compliance with Intrahealth International policies and procedures and
with Armenian laws, including, but not limited to:
- Maintain the general ledger and all related accounts with proper
documentation and records of all transactions; review entries to the
general ledger to assure accuracy and compliance with the companys and
established accounting principles; 
- Prepare mandatory reports as required and respond to inquiries as
necessary;
- Process monthly staff payroll, tax calculations and remittances; 
- Maintain tax accounting and ensure due reporting to tax authorities;
- Undertake monthly and year-end closing of the general ledger including
the preparation of journal entries;
- Supervise monthly bank reconciliations for all accounts; verify
accuracy of bank statements and maintain integrity of cash balances and
cash flow systems;
- Maintain fixed asset records and determine depreciation terms/ rates
to apply to items;
- Maintain a computerized accounting system;
- Prepare payment vouchers for signature and bank transfers, review
payment requests for format and accuracy;
- Draw-up service and employment contracts (subject to Chapel Hill
Finance and Contracts department approval); 
- Manage all personnel issues, including timesheets, leave reports and
local benefits and ensure their confidentiality, maintain file of
personnel records;
- Keep log of vehicle request forms, alongside with driver schedule and
manage usage of office vehicle, request and maintain fuel inventory;
- Manage daily petty cash payments and cash reconciliation, including
verifying support documentation; prepare petty cash replenishment/
request documents;
- Prepare monthly funds request; 
- Make and/ or reconfirm all hotel, flight and travel arrangements,
handle visa arrangements and car pick up; 
- Process local travel expenses/ reimbursements; 
- Provide logistics for seminars, workshops and other special events; 
- Perform other duties related with the position and assigned by
supervisor.",Accountant,"- Advanced degree in accounting or finance; - Minimum 3-5 years of experience in accounting or equivalent finance positions; - Excellent knowledge of local accounting & tax practices and regulations; - Good command of MS Office tools (Word, Excel and Powe"
"- University degree;
- Work experience in sales or marketing fields is a plus;
- Knowledge of Microsoft Office tools (Excel, Word, E-mail and
Internet);
- Knowledge of Armenian and Russian languages;
- Good communication and presentation skills;
- A","Magic Sale LLC is seeking motivated and commercially
orientated Sales Manager to attract new clients and organize current
work with the existing ones.","- Conduct client and market research;
- Meet with potential clients and represent the company and its
services;
- Work with the existing clients of the company;
- Analyze the needs of potential clients;
- Carry out other assignments as requested.",Sales Manager,"- University degree; - Work experience in sales or marketing fields is a plus; - Knowledge of Microsoft Office tools (Excel, Word, E-mail and Internet); - Knowledge of Armenian and Russian languages; - Good communication and presentation skills; - Ability"
"- Minimum 3 years of work experience in software application development
on Python and C++;
- Excellent knowledge of C and C++;
- Experience of development under Linux/ Unix OS;
- Advanced knowledge of OOP and OOD;
- Knowledge of STL, MFC, Unit testi","Energize Global Services CJSC is looking for Software
Developers to be engaged in different long term projects.","- Participate in software development in C++;
- Work as part of a software development team.",Software Developer,"- Minimum 3 years of work experience in software application development on Python and C++; - Excellent knowledge of C and C++; - Experience of development under Linux/ Unix OS; - Advanced knowledge of OOP and OOD; - Knowledge of STL, MFC, Unit testing fr"
"- Higher pharmaceutical or medical education;
- Experience in relevant field;
- Communication skills and flexibility;
- Enthusiasm and creativity;
- Punctual and organized personality; 
- Fluency in Armenian and Russian languages; English is an advan","The Medical Representative will be responsible for
active promotion of some pharmaceutical products manufactured by
Hoffmann-La Roche.","- Increase awareness and use of certain pharmaceutical products by
organizing and attending meetings, conferences and other special
events;
- Hold face-to-face regular meetings with doctors, key specialists and
pharmacists;
- Prepare effective presen",Medical Representative,- Higher pharmaceutical or medical education; - Experience in relevant field; - Communication skills and flexibility; - Enthusiasm and creativity; - Punctual and organized personality;  - Fluency in Armenian and Russian languages; English is an advantage;
"- University degree in medicine or pharmacy;
- Knowledge of Russian language.","Esculap is looking for a motivated personality who
should combine excellent interpersonal and organizational skills to work
as a Medical Representative.","- Regularly visit doctors in hospitals, clinics and pharmacies;
- Promote the company's products.",Medical Representative,- University degree in medicine or pharmacy; - Knowledge of Russian language.Esculap is looking for a motivated personality who should combine excellent interpersonal and organizational skills to work as a Medical Representative.- Regularly visit doctors 
"- Graduate degree in Management, Civil, Mechanical, Electrical or
Seismic Engineering, Architecture and other technical fields;
- Progressive 3-5 years working experience in similar position; 
- Previous working experience of construction project manag","Project Management Unit (PMU) CJSC is looking for a
highly qualified Project Manager. Under the supervision of Project
Management Unit Director, the incumbent will create and execute project
work plans and revise as appropriate to meet changing needs and
requirements.","- Identify resources needed and assign individual responsibilities;
- Manage day-to-day operational aspects of a project and scope;
- Review deliverables prepared by team before passing to client; 
- Prepare for engagement reviews and quality assurance",Project Manager,"- Graduate degree in Management, Civil, Mechanical, Electrical or Seismic Engineering, Architecture and other technical fields; - Progressive 3-5 years working experience in similar position;  - Previous working experience of construction project manageme"
"- Higher medical education (specialization in cardiology is an
advantage);
- Excellent communication skills;
- Confidence, persistence and honesty;
- Ability to work in a team;
- Patience, goal-orientation and self-motivation;
- Fluency in Armenian ","The incumbent will be responsible for the promotion of
companies Rx (prescription) products among hospitals, policlinics and
pharmacies.","- Make regular daily visits to hospitals, policlinics and pharmacies;
- Organize conferences, round tables and presentations;
- Prepare regular weekly and monthly reports;
- Create and maintain client database;
- Keep up with the latest clinical data ",Medical Representative,"- Higher medical education (specialization in cardiology is an advantage); - Excellent communication skills; - Confidence, persistence and honesty; - Ability to work in a team; - Patience, goal-orientation and self-motivation; - Fluency in Armenian and Ru"
"- BS in Computer Science or Electrical Engineering, or equivalent (MS
preferred);
- 5+ years of software engineering experience and willingness to take
responsibility for timely delivery;
- 3+ years of ATE Software Engineering is desired;
- Strong C/","The position involves a large scale, hardware oriented
system software development project that includes executive services for
datalog, binning, external equipment interface and test program runtime
executive. It also involves mixture of engineering process development,
project planning, systems programming and applications programming.","- Participate in the design, development and implementation of software
for Automatic Test Equipment; 
- Use professional concepts in accordance with company objectives and
team guidelines to solve complex problems;
- Contribute to the enhancement and",Software Engineer,"- BS in Computer Science or Electrical Engineering, or equivalent (MS preferred); - 5+ years of software engineering experience and willingness to take responsibility for timely delivery; - 3+ years of ATE Software Engineering is desired; - Strong C/C++ s"
"- University degree in Accounting or Finance;
- Minimum 5 years of experience in accounting field;
- License in Accountancy; 
- Good Knowledge of Armenian Accounting (ArmSoftware) and 1C;
- Knowledge of Tax laws and regulations;
- Knowledge of Accoun","RCF Holding LLC is looking for a candidate to fulfill
the position of an Accountant.","- Maintain accurate and complete records;
- Compile and analyze financial information in order to prepare monthly
and annual reports;
- Register daily accounting transactions;
- Provide accounting and financial analysis;
- Prepare accounting manageme",Accountant,- University degree in Accounting or Finance; - Minimum 5 years of experience in accounting field; - License in Accountancy;  - Good Knowledge of Armenian Accounting (ArmSoftware) and 1C; - Knowledge of Tax laws and regulations; - Knowledge of Accounting 
"- Master's degree in law;
- At least 5 year experience in the field of law;
- Fluency in Armenian, Russian and English languages;
- Knowledge of computer and other office equipment;
- Possession of Attorney License;
- Analytical capabilities and abil","RCF Holding LLC is seeking an experienced Lawyer who
will promote the functioning of the Company.","- Provide legal services;
- Engage new clients;
- Make recommendations on the development of legal services of the
Company.",Lawyer,"- Master's degree in law; - At least 5 year experience in the field of law; - Fluency in Armenian, Russian and English languages; - Knowledge of computer and other office equipment; - Possession of Attorney License; - Analytical capabilities and ability t"
"- Higher medical education;
- Basic knowledge of medicine and pharmacology;
- Fluency in Armenian and Russian languages, knowledge of English is
welcome; 
- Computer skills (MS Office); 
- Communication skills and flexibility.","The incumbent will be responsible for active promotion
of Rotapharm pharmaceutical products.","- Visit medical institutions/ entities to meet with doctors and
pharmacists;
- Represent company production;
- Organize presentations.",Medical Representative,"- Higher medical education; - Basic knowledge of medicine and pharmacology; - Fluency in Armenian and Russian languages, knowledge of English is welcome;  - Computer skills (MS Office);  - Communication skills and flexibility.The incumbent will be respons"
"- 1+ years of solid development or QA experience;
- Comfortable with Unix environment and command line tools;
- Good Shell scripting skills;
- Fast independent learning ability, good analytical skills;
- Knowledge of technical English language.
Desir","The QA Engineer participates in a wide range of
verification and test development activities.","- Write automated tests (primarily in Perl) for new and existing
features, be responsible for manual verification of their correctness;
- Reproduce client issues and validate fixes;
- Maintain and enhance the automated test framework;
- Create complex",QA Engineer,"- 1+ years of solid development or QA experience; - Comfortable with Unix environment and command line tools; - Good Shell scripting skills; - Fast independent learning ability, good analytical skills; - Knowledge of technical English language. Desired Sk"
"- University degree;
- Work experience in sales or marketing fields; 
- Knowledge of Microsoft Office tools (Excel, Word, E-mail and
Internet);
- Knowledge of Armenian and Russian languages;
- Good communication and presentation skills;
- Ability to","Nushikyan Association LLC is seeking motivated and
commercially oriented Sales Manager to attract new clients and organize
current work with the existing ones.","- Conduct client and market research;
- Meet with potential clients and represent the company and its
services;
- Work with the existing clients of the company;
- Analyze the needs of potential clients;
- Realize deliveries and orders; 
- Elaborate ",Sales Manager,"- University degree; - Work experience in sales or marketing fields;  - Knowledge of Microsoft Office tools (Excel, Word, E-mail and Internet); - Knowledge of Armenian and Russian languages; - Good communication and presentation skills; - Ability to condu"
"- University or professional degree in accounting; 
- 3-5 years of work experience as an accountant; 
- Excellent knowledge of AS Version 4.0; 
- Excellent knowledge of Armenian and IFRS accounting standards; 
- Good command of MS Office tools (Word, ","Orange Armenia is looking for an Accountant to perform
day-to-day accounting activities and participate in the implementation of
accounting, under the responsibility of the Chief Accountant.","- Conduct day-to-day accounting activities in compliance with France
Telecom policies/ procedures and with Armenian laws, including but not
limited to:
a) Registering all inventory related transactions;
b) Checking and controlling all stock movement r",Accountant,"- University or professional degree in accounting;  - 3-5 years of work experience as an accountant;  - Excellent knowledge of AS Version 4.0;  - Excellent knowledge of Armenian and IFRS accounting standards;  - Good command of MS Office tools (Word, Exce"
"- Masters degree in Marketing or a related discipline;
- At least 3 years of relevant experience;
- Strong understanding of customer and market dynamics and
requirements;
- Proven ability to conduct market analysis and surveys;
- Analytical thinking ","""Catherine Group"" Ltd. is inviting highly qualified
professionals to fulfill the position of a Marketing Manager.","- Organize and conduct marketing, advertising and promotional
activities;
- Conduct market research to determine market requirements for existing
and future products;
- Conduct analysis of customer research, current market conditions and
competitor i",Marketing Manager,- Masters degree in Marketing or a related discipline; - At least 3 years of relevant experience; - Strong understanding of customer and market dynamics and requirements; - Proven ability to conduct market analysis and surveys; - Analytical thinking and r
"- University degree;
- Excellent knowledge of English, Russian and Armenian languages;
- PC literacy: good knowledge of MS Office (strong knowledge of Word and
Excel);
- Experience in working with people;
- Strong organizational, communication and in","""Avanta"" Laser Cosmetology Center is looking for an
Office Manager. The successful candidate must be familiar with all
aspects of daily business operations including: personnel, Human
Resource issues, contact negotiations, payroll and numerous
administrative functions.","- Be responsible for planning, organizing and directing the health care
services;
- Prepare daily, weekly and monthly financial reports;
- Be responsible for accounts receivables and payables;
- Schedule appointments for patients;
- Provide telephone",Office Manager,"- University degree; - Excellent knowledge of English, Russian and Armenian languages; - PC literacy: good knowledge of MS Office (strong knowledge of Word and Excel); - Experience in working with people; - Strong organizational, communication and interpe"
"- University degree or college diploma in the field of Economy and/ or
Engineering (MBA is a plus);
- At least 3+ years in IT project management;
- Background in Health Insurance or any other business area is a plus;
- Experience with issue resolution","The role of the Project Manager is to plan, execute
and finalize projects according to strict deadlines and within budget.
This includes acquiring resources and coordinating the efforts of
stakeholders, team members and third-party contractors or consultants in
order to deliver projects according to plan. The Project Manager will
also define the projects objectives and oversee quality control
throughout its life cycle.","- Direct and manage project development from beginning to end;
- Define project scope, goals and deliverables that support business
goals in collaboration with senior management and stakeholders;
- Build, develop and grow any business relationships vit",Project Manager,- University degree or college diploma in the field of Economy and/ or Engineering (MBA is a plus); - At least 3+ years in IT project management; - Background in Health Insurance or any other business area is a plus; - Experience with issue resolution acr
"- Higher education in the relevant field, MS is preferred;
- 8+ years of programming experience in the relevant areas:
- Work experience with large systems and potential bottlenecks;
- J2EE and databases; excellent understanding of Spring Framework and","IconApps Inc. is looking for a Senior Software
Engineer for long-term projects.","- Serve as a strong contributing technical member of the team;
- Take part in defining product and its architecture;
- Design and develop J2EE based web applications;
- Design and develop database oriented big systems;
- Optimize existing systems;
- ",Software Engineer,"- Higher education in the relevant field, MS is preferred; - 8+ years of programming experience in the relevant areas: - Work experience with large systems and potential bottlenecks; - J2EE and databases; excellent understanding of Spring Framework and Hi"
"- University degree in medicine or pharmacy;
- Experience in the pharmaceutical industry would be an advantage;
- Fluent knowledge of Russian language, knowledge of English language
would be beneficial.","Les Laboratoires Servier is looking for an
enthusiastic, self-motivated personality who will combine excellent
interpersonal and organizational skills and have the ability to adapt to
an international environment.","- Pay regular visits to doctors in hospitals and clinics;
- Promote the company's drugs in Yerevan and in regions of Armenia;
- Organize local medical meetings.",Medical Representative,"- University degree in medicine or pharmacy; - Experience in the pharmaceutical industry would be an advantage; - Fluent knowledge of Russian language, knowledge of English language would be beneficial.Les Laboratoires Servier is looking for an enthusiast"
"- At least 5 years of work experience as a Software Developer;
- Excellent knowledge of Java and OOP;
- Excellent knowledge of Web development;
- Web Frameworks: Struts, JSP/Servlet, Java Server Faces;
- Persistence Layer: OJB, IBATIS, Hibernate;
- I","Virtual Solution Global Services LLC is seeking a
motivated Senior Java Developer for Web based applications development.","- Participate in application design;
- Provide necessary technical and design documentation;
- Communicate effectively with local management and external team
members;
- Develop applications according to technical documentation;
- Develop test cases;",Java Developer,"- At least 5 years of work experience as a Software Developer; - Excellent knowledge of Java and OOP; - Excellent knowledge of Web development; - Web Frameworks: Struts, JSP/Servlet, Java Server Faces; - Persistence Layer: OJB, IBATIS, Hibernate; - Integr"
"- University degree;
- Work experience in sales and marketing;
- Knowledge of Armenian and Russian languages;
- Good communication and presentation skills;
- Ability to conduct negotiations;
- Ability to work under pressure.","Victoria Pasta is looking for a motivated and
commercially oriented Sales Manager to attract new clients and organize
current work with the existing ones.","- Develop and maintain relations with customers;
- Develop and implement sales strategies;
- Determine market needs and make recommendations;
- Meet with potential clients and represent the company and its
services;
- Work with the existing clients o",Sales Manager,- University degree; - Work experience in sales and marketing; - Knowledge of Armenian and Russian languages; - Good communication and presentation skills; - Ability to conduct negotiations; - Ability to work under pressure.Victoria Pasta is looking for a
